keyword_id,keyword
1,jealousy
2,toy
3,boy
4,friendship
5,friends
6,rivalry
7,boy next door
8,new toy
9,toy comes to life
10,cuba
11,falsely accused
12,secret identity
13,computer virus
14,secret base
15,secret intelligence service
16,kgb
17,satellite
18,special car
19,cossack
20,electromagnetic pulse
21,time bomb
22,st. petersburg russia
23,ejection seat
24,red army
25,hotel
26,new year's eve
27,witch
28,bet
29,hotel room
30,sperm
31,los angeles
32,hoodlum
33,woman director
34,episode film
35,gambling
36,miami
37,based on novel
38,job
39,murder
40,travel
41,mafia
42,money
43,debt
44,mobster
45,business
46,hollywood
47,gangster
48,crime
49,violence
50,drug
51,producer
52,con
53,police brutality
54,psychology
55,police operation
56,police protection
57,serial killer
58,psychologist
59,cowardliness
60,sheep
61,pig
62,affection
63,piglet
64,heroism
65,talking animal
66,separation
67,german shepherd
68,grandson
69,talking pig
70,prison
71,rape
72,socially deprived family
73,penalty
74,death penalty
75,despair
76,death row
77,begnadigung
78,therapist
79,self-discovery
80,prison cell
81,court case
82,death sentence
83,doomed man
84,sentence
85,lethal injection
86,forgiveness
87,charity
88,mercy petition
89,rage and hate
90,unsociability
91,right and justice
92,court
93,electric chair
94,law
95,relatives
96,theft
97,criminal
98,criminal mastermind
99,hungarian
100,sibling
101,dancing
102,brother brother relationship
103,sexual obsession
104,showdown
105,sheriff
106,eroticism
107,nudity
108,bank robber
109,vampire
110,holy water
111,siege
112,stripper
113,priest
114,explosion
115,extreme violence
116,bank robbery
117,preacher
118,hostage situation
119,crucifix
120,recreational vehicle
121,blood spurting
122,convenience store
123,female vampire
124,mexican american border
125,nightclub entertainer
126,boa constrictor
127,love
128,independent film
129,best friend
130,true love
131,irish catholic
132,detective
133,handcuffs
134,airport
135,mexican standoff
136,strip club
137,witness protection
138,car crash
139,internal affairs
140,gunfight
141,brutality
142,foot chase
143,car chase
144,drug lord
145,hangar
146,loose cannon
147,bust
148,reference to skittles
149,black cop
150,badge
151,action hero
152,corrupt cop
153,moon
154,florida
155,nasa
156,spaceman
157,race against time
158,houston
159,based on true story
160,space
161,rescue
162,survival
163,disaster
164,astronaut
165,imax
166,saturn v rocket
167,courage
168,hypothermia
169,apollo program
170,cape kennedy
171,lunar mission
172,spacecraft accident
173,riddle
174,dc comics
175,rose
176,gotham city
177,partner
178,superhero
179,robin
180,broken neck
181,district attorney
182,millionaire
183,falling down stairs
184,tied up
185,tommy gun
186,beretta
187,knocked out
188,super powers
189,disfigurement
190,father figure
191,submarine
192,mutiny
193,russia
194,missile
195,nuclear missile
196,embassy
197,u.s. navy
198,battle for power
199,torpedo
200,military
201,moral dilemma
202,post cold war
203,aircraft carrier
204,chain of command
205,launch code
206,sonar
207,gunslinger
208,anti terror
209,ambush
210,mexico
211,guitar
212,hitman
213,bartender
214,revenge
215,tragic hero
216,shootout
217,mariachi
218,leg brace
219,concealed weapon
220,flashback
221,bookstore
222,cheating
223,new identity
224,chase
225,computer
226,stalking
227,salesclerk
228,loser
229,aftercreditsstinger
230,employee
231,workplace
232,sexual harassment
233,intrigue
234,secret
235,nightclub
236,pet shop
237,unhappiness
238,individual
239,taxi
240,transsexuality
241,fortune teller
242,film business
243,film making
244,film producer
245,vororte
246,film maker
247,boxer
248,film director
249,oddball
250,celebrity
251,morphine
252,movie studio
